,raw,label,clean
342,HAFERFLOCKEN (27%)|WEIZENMEHL| Zucker| pflanzliches Fett (aus Palmfrucht)| VOLLEI| Salz| Backtriebmittel (Ammonium- und Natriumcarbonate)| Bourbon-Vanille. Kann Spuren von SOJA| MILCH| SCHALENFRÜCHTEN und LUPINEN enthalten.,glutenhaltig,haferflocken weizenmehl zucker pflanzliches fett aus palmfrucht vollei salz backtriebmittel ammonium und natriumcarbonate bourbonvanille kann spuren von soja milch schalenfrüchten und lupinen enthalten
343,MAGERMILCH 61|6%| Wasser| HARTWEIZENGRIEß*| Stärke*| Zucker*| Maiskeimöl| natürliches Bourbonvanillearoma| Antioxidationsmittel Ascorbinsäure¹| Thiamin (Vitamin B1).*aus biologischer Erzeugung¹Ascorbinsäure ist als Vitamin C auch natürlicherweise in Früchten enthalten.,glutenhaltig,magermilch  wasser hartweizengrieß stärke zucker maiskeimöl natürliches bourbonvanillearoma antioxidationsmittel ascorbinsäure thiamin vitamin baus biologischer erzeugungascorbinsäure ist als vitamin c auch natürlicherweise in früchten enthalten
344,73% VOLLMILCH| 11% SAHNE| 8% HARTWEIZENGRIEß| Zucker.,glutenhaltig, vollmilch  sahne  hartweizengrieß zucker
345,Früchte* 95% (säurearmer Apfelsaft* aus Apfelsaftkonzentrat| Äpfel*| Bananen*| Mango*| Orangensaft* aus Orangensaftkonzentrat)| Vollkorngetreide* 5% (WEIZENFLOCKEN*| HAFERFLOCKEN*) Antioxidationsmittel Ascorbinsäure. *Aus biologischer Erzeugung,glutenhaltig,früchte  säurearmer apfelsaft aus apfelsaftkonzentrat äpfel bananen mango orangensaft aus orangensaftkonzentrat vollkorngetreide  weizenflocken haferflocken antioxidationsmittel ascorbinsäure aus biologischer erzeugung
346,VOLLKORN-HAFERFLOCKEN 45%| VOLLKORN-HAFERMEHL 17%| Zucker| Sonnenblumenöl| Maltodextrin| Honig 4%| Salz| Emulgator Sonnenblumen-Lecithine.Kann MANDELN| EI und MILCHBESTANDTEILE enthalten.,glutenhaltig,vollkornhaferflocken  vollkornhafermehl  zucker sonnenblumenöl maltodextrin honig  salz emulgator sonnenblumenlecithinekann mandeln ei und milchbestandteile enthalten
347,HAFERFLOCKEN (45%)| MILCHZUCKER| MILCHEIWEIß| Fructose| Glucosesirup getrocknet| Maisstärke| Äpfel getrocknet (6%)| Pflanzenöl (SOJA) teilweise gehärtet| MILCHFETTPULVER| Zimt (0|6%)| Salz| Aroma| Säuerungsmittel (Citronensäure). Kann Spuren von NÜSSEN| ERDNÜSSEN und SOJA enthalten.,glutenhaltig,haferflocken  milchzucker milcheiweiß fructose glucosesirup getrocknet maisstärke äpfel getrocknet  pflanzenöl soja teilweise gehärtet milchfettpulver zimt  salz aroma säuerungsmittel citronensäure kann spuren von nüssen erdnüssen und soja enthalten
348,VOLLKORNHAFERFLOCKEN (40%)| getrocknete Früchte (27%) (Rosinen| Kokosnuss| Bananenstücke (Bananen| Kokosnussöl| Zucker)| Cranberrystücke (Cranberries| Zucker| Sonnenblumenöl)| getrocknete Apfelstücke (Äpfel| Konservierungsstoff SCHWEFELDIOXID))| Zucker| Palmöl| WEIZENMEHL| Melasse| Salz| GERSTENMALZEXTRAKT| Zimt.,glutenhaltig,vollkornhaferflocken  getrocknete früchte  rosinen kokosnuss bananenstücke bananen kokosnussöl zucker cranberrystücke cranberries zucker sonnenblumenöl getrocknete apfelstücke äpfel konservierungsstoff schwefeldioxid zucker palmöl weizenmehl melasse salz gerstenmalzextrakt zimt
349,WEIZENVOLLKORNFLOCKEN 77%| Trockenfruchtmischung 20% (Rosinen| Aprikosen| Datteln| Äpfel| Bananen-Chips aus Bananen| Kokos-Öl| Rohrzucker| natürliches Aroma)| Sonnenblumenkerne. Kann Spuren von SESAM| MILCHPRODUKTEN| ERDNUSS und NÜSSEN aller Art enthalten.,glutenhaltig,weizenvollkornflocken  trockenfruchtmischung  rosinen aprikosen datteln äpfel bananenchips aus bananen kokosöl rohrzucker natürliches aroma sonnenblumenkerne kann spuren von sesam milchprodukten erdnuss und nüssen aller art enthalten
350,VOLLMILCH 45%| Wasser| Keksmehl* (WEIZENMEHL| Zucker| Palmfett)| 6% Zucker| WEIZENGRIEß| Stärke| Calciumcarbonat| Bourbonvanilleextrakt| Vitamin B1. Kann Spuren von EI und SCHALENFRÜCHTEN enthalten.,glutenhaltig,vollmilch  wasser keksmehl weizenmehl zucker palmfett  zucker weizengrieß stärke calciumcarbonat bourbonvanilleextrakt vitamin b kann spuren von ei und schalenfrüchten enthalten
351,42% SOJAFLOCKEN| 19% Vollkorn-HAFERFLOCKEN| 8|6% SOJAEIWEISS| 8|5% Zartbitterschokolade (Kakaomasse| Zucker| Emulgator (Lecithine))| Zucker| 3|0% geröstete HASELNUSS-Stücke| MILCHEIWEISSERZEUGNIS| Sonnenblumenöl| Oligofruktose| Stärke| getrocknete WEIZENKEIME| WEIZENVOLLKORNMEHL| fettarmes Kakaopulver| Reismehl| Salz| getrockneter GERSTENMALZEXTRAKT| WEIZENGLUTEN| MAGERMILCHPULVER| Aroma. Kann enthalten: weitere SCHALENFRÜCHTE (NÜSSE).,glutenhaltig, sojaflocken  vollkornhaferflocken  sojaeiweiss  zartbitterschokolade kakaomasse zucker emulgator lecithine zucker  geröstete haselnussstücke milcheiweisserzeugnis sonnenblumenöl oligofruktose stärke getrocknete weizenkeime weizenvollkornmehl fettarmes kakaopulver reismehl salz getrockneter gerstenmalzextrakt weizengluten magermilchpulver aroma kann enthalten weitere schalenfrüchte nüsse
352,33% VOLLKORN-HAFERFLOCKEN| 17% VOLLKORN-WEIZENFLOCKEN| Zucker| 10% Vollkornweizen-Butterkekse (53% WEIZENVOLLKORNMEHL| Zucker| 9|7% BUTTER| WEIZENGLUTEN| WEIZENSTÄRKE| Glukosesirup| VOLLMILCHPULVER| Salz| SÜßMOLKENPULVER| natürliches Aroma)| 9% Vollmilchschokolade (Zucker| VOLLMILCHPULVER| Kakaomasse| Kakaobutter| SÜßMOLKENPULVER| Emulgator (Lecithine))| Glukosesirup| WEIZENMEHL| Honig| Reismehl| WEIZENVOLLKORNMEHL| Salz| WEIZENKEIME| getrockneter GERSTENMALZEXTRAKT| MAGERMILCHPULVER| Aroma. Kann Spuren von SCHALENFRÜCHTEN (NÜSSEN) enthalten.,glutenhaltig, vollkornhaferflocken  vollkornweizenflocken zucker  vollkornweizenbutterkekse  weizenvollkornmehl zucker  butter weizengluten weizenstärke glukosesirup vollmilchpulver salz süßmolkenpulver natürliches aroma  vollmilchschokolade zucker vollmilchpulver kakaomasse kakaobutter süßmolkenpulver emulgator lecithine glukosesirup weizenmehl honig reismehl weizenvollkornmehl salz weizenkeime getrockneter gerstenmalzextrakt magermilchpulver aroma kann spuren von schalenfrüchten nüssen enthalten
353,VOLLKORN-HAFERFLOCKEN| VOLLKORN-ROGGENFLOCKEN| VOLLKORN-GERSTENFLOCKEN| VOLLKORN-DINKELFLOCKEN| 5|8% Honig| Oligofruktose| geröstete HASELNUSS-STÜCKE| gehackte MANDELN| Sonnenblumenöl| geschälte Sonnenblumenkerne| grüne Kürbiskerne| PEKANNUSS-STÜCKE| Salz| Antioxidationsmittel (E306| E301). Kann enthalten: CASHEWKERNE| MILCH| SOJA.,glutenhaltig,vollkornhaferflocken vollkornroggenflocken vollkorngerstenflocken vollkorndinkelflocken  honig oligofruktose geröstete haselnussstücke gehackte mandeln sonnenblumenöl geschälte sonnenblumenkerne grüne kürbiskerne pekannussstücke salz antioxidationsmittel e e kann enthalten cashewkerne milch soja
354,Frucht 92% (Äpfel 39%| säurearmer Apfelsaft aus Apfelsaftkonzentrat| Bananen 15%)| Getreide 5% (VOLLKORNWEIZENFLOCKEN| VOLLKORNHAFERFLOCKEN)| Vitamin C| Vitamin E.,glutenhaltig,frucht  äpfel  säurearmer apfelsaft aus apfelsaftkonzentrat bananen  getreide  vollkornweizenflocken vollkornhaferflocken vitamin c vitamin e
355,VOLLKORN-DINKEL und VOLLKORN-HAFER aus ökologischem Anbau| Vitamin B1.,glutenhaltig,vollkorndinkel und vollkornhafer aus ökologischem anbau vitamin b
356,Reis (48%)| VOLLKORNWEIZEN (35%)| Zucker| GERSTE (8|5%)| gemälztes GERSTENMEHL (4%)| GERSTENMALZ| Salz.Kann Spuren von MILCH enthalten.,glutenhaltig,reis  vollkornweizen  zucker gerste  gemälztes gerstenmehl  gerstenmalz salzkann spuren von milch enthalten
357,"""Getreide (43|3% VOLLKORNWEIZEN| Reis| 6|1% VOLLKORNHAFERFLOCKEN)| Überzug (Zucker| Palmöl| MOLKENERZEUGNIS| MILCHEIWEISS| 0|4% MAGERMILCHJOGHURTPULVER| Emulgator Lecithine (SOJA)| Säureregulator (Milchsäure| Calciumlactat)| natürliches Vanillearoma)| Zucker| brauner Invertzuckersirup| GERSTENMALZEXTRAKT| Vitamine und Mineralstoffe (Calciumcarbonat| Niacin| Eisen| Pantothensäure| Vitamin B6| Riboflavin [Vitamin B2]| Folsäure)| Salz| Überzug (Überzugsmittel Gummi arabicum| Verdickungsmittel Polydextrose| Glukosesirup| Palmöl)| Glukosesirup| Antioxidationsmittel (stark tocopherolhaltige Extrakte). Kann ERDNÜSSE und NÜSSE enthalten.""",glutenhaltig,getreide  vollkornweizen reis  vollkornhaferflocken überzug zucker palmöl molkenerzeugnis milcheiweiss  magermilchjoghurtpulver emulgator lecithine soja säureregulator milchsäure calciumlactat natürliches vanillearoma zucker brauner invertzuckersirup gerstenmalzextrakt vitamine und mineralstoffe calciumcarbonat niacin eisen pantothensäure vitamin b riboflavin vitamin b folsäure salz überzug überzugsmittel gummi arabicum verdickungsmittel polydextrose glukosesirup palmöl glukosesirup antioxidationsmittel stark tocopherolhaltige extrakte kann erdnüsse und nüsse enthalten
358,Süßungsmittel Maltit| geröstete Vollkorngetreideflocken 12% (GERSTEN-| WEIZEN-)| VOLLKORNWEIZEN-Crispies (WEIZENVOLLKORNMEHL 11%| WEIZENGLUTEN| GERSTENMALZ)| kakaohaltige VOLLKORNWEIZEN-Crispies (WEIZENVOLLKORNMEHL 9%| fettarmes Kakaopulver| WEIZENGLUTEN| VOLLMILCHPULVER)| VOLLMILCHSCHOKOLADE mit Süßungsmittel 9% (Süßungsmittel Maltit| Kakaobutter| VOLLMILCHPULVER| Kakaomasse| Emulgator Sonnenblumen-Lecithine)| Cornflakes 8% (Mais| Salz| GERSTENMALZEXTRAKT)|geröstete ERDNÜSSE| Kokosfett| Stabilisator Glycerin| Salz| Emulgator Sonnenblumen-Lecithine| natürliches Kakao-Aroma mit anderen natürlichen Aromen.Kann SCHALENFRÜCHTE enthalten.,glutenhaltig,süßungsmittel maltit geröstete vollkorngetreideflocken  gersten weizen vollkornweizencrispies weizenvollkornmehl  weizengluten gerstenmalz kakaohaltige vollkornweizencrispies weizenvollkornmehl  fettarmes kakaopulver weizengluten vollmilchpulver vollmilchschokolade mit süßungsmittel  süßungsmittel maltit kakaobutter vollmilchpulver kakaomasse emulgator sonnenblumenlecithine cornflakes  mais salz gerstenmalzextraktgeröstete erdnüsse kokosfett stabilisator glycerin salz emulgator sonnenblumenlecithine natürliches kakaoaroma mit anderen natürlichen aromenkann schalenfrüchte enthalten
359,"Äpfel* 51%| Apfelsaft* aus Apfelsaftkonzentrat| Wasser| Pfannkuchenstückchen*(VOLLMILCH*| WEIZENMEHL*| Zucker*| VOLLEI*| Sonnenblumenöl*| Zitronensaft* aus Zitronensaftkonzentrat) 11% Reisgrieß*| Maisstärke*| Reisstärke*| Vitamin C. *Aus biologischer Erzeugung.""",glutenhaltig,äpfel  apfelsaft aus apfelsaftkonzentrat wasser pfannkuchenstückchenvollmilch weizenmehl zucker vollei sonnenblumenöl zitronensaft aus zitronensaftkonzentrat  reisgrieß maisstärke reisstärke vitamin c aus biologischer erzeugung
360,100% HAFERKLEIE Flocken.,glutenhaltig, haferkleie flocken
361,93% Mais| Zucker| Salz| GERSTENMALZ.Kann Spuren von ERDNÜSSEN| SCHALENFRÜCHTEN| MILCH- und SOJAERZEUGNISSEN enthalten.,glutenhaltig, mais zucker salz gerstenmalzkann spuren von erdnüssen schalenfrüchten milch und sojaerzeugnissen enthalten
362,Getreideflocken* (71%) (HAFERFLOCKEN*| DINKELFLOCKEN*)| Vollmilchschokoladenplättchen* (9%) (Rohrohrzucker*| Kakaobutter*| VOLLMILCHPULVER*| Kakaomasse*)| Zartbitterschokoladentropfen* (9%) (Rohrohrzucker*| Kakaomasse*| Kakaobutter*)| Kakao-Hafer-Crispies* (6%) (WEIZENMEHL*| HAFERMEHL*| Zucker*| Kakao*| GERSTENMALZMEHL*| Meersalz)| Schoko-Cornflakes* (5%) (Cornflakes* (Mais*| Rohrohrzucker*| Meersalz| Maismalz*)| Vollmilchschokolade* (Rohrohrzucker*| Kakaobutter*| VOLLMILCHPULVER*| Kakaomasse*)| Überzugsmittel: Gummi arabicum*). *aus kontrolliert ökologischem Anbau. Kann Spuren von ERDNÜSSEN| SCHALENFRÜCHTEN| SOJA| SESAM und LUPINEN enthalten.,glutenhaltig,getreideflocken  haferflocken dinkelflocken vollmilchschokoladenplättchen  rohrohrzucker kakaobutter vollmilchpulver kakaomasse zartbitterschokoladentropfen  rohrohrzucker kakaomasse kakaobutter kakaohafercrispies  weizenmehl hafermehl zucker kakao gerstenmalzmehl meersalz schokocornflakes  cornflakes mais rohrohrzucker meersalz maismalz vollmilchschokolade rohrohrzucker kakaobutter vollmilchpulver kakaomasse überzugsmittel gummi arabicum aus kontrolliert ökologischem anbau kann spuren von erdnüssen schalenfrüchten soja sesam und lupinen enthalten
363,CAMEMBERT aus pasteurisierter MILCH.Kann Spuren von NÜSSEN enthalten.,glutenfrei,camembert aus pasteurisierter milchkann spuren von nüssen enthalten
364,Wasser| SENFSAATEN| Branntweinessig| Speisesalz| Gewürze| Zucker.,glutenfrei,wasser senfsaaten branntweinessig speisesalz gewürze zucker
365,Bananen (45%)| Wasser| Zucker| Branntweinessig| Speisesalz| Gewürze (enthält SENF| SELLERIE)| Hefeextrakt| Würze| Verdickungsmittel: Guarkernmehl| Xanthan| Stabilisator: Pektin| Aroma.,glutenfrei,bananen  wasser zucker branntweinessig speisesalz gewürze enthält senf sellerie hefeextrakt würze verdickungsmittel guarkernmehl xanthan stabilisator pektin aroma
366,Glukosesirup| Zucker| Gelatine| Dextrose| Säuerungsmittel: Citronensäure| Frucht- und Pflanzenkonzentrate: Saflor| Apfel| Rettich| Spirulina| Süßkartoffel| Karotte| Zitrone| Schwarze Johannisbeere| Hibiskus| Aroma| Überzugsmittel: Bienenwachs weiß und gelb| Carnaubawachs| Invertzuckersirup.,glutenfrei,glukosesirup zucker gelatine dextrose säuerungsmittel citronensäure frucht und pflanzenkonzentrate saflor apfel rettich spirulina süßkartoffel karotte zitrone schwarze johannisbeere hibiskus aroma überzugsmittel bienenwachs weiß und gelb carnaubawachs invertzuckersirup
367,FRISCHKÄSE| 5% Paprika-Chilizubereitung (Tomatenmark| Paprika| Salz| Zwiebeln| Chili| Gewürzextrakt| Gewürze| modifizierte Stärke)| Salz| Verdickungsmittel: Johannisbrotkernmehl und Guarkernmehl.,glutenfrei,frischkäse  paprikachilizubereitung tomatenmark paprika salz zwiebeln chili gewürzextrakt gewürze modifizierte stärke salz verdickungsmittel johannisbrotkernmehl und guarkernmehl
368,Enthält SULFITE.,glutenfrei,enthält sulfite
369,Geschälte Tomaten| Tomatensaft.,glutenfrei,geschälte tomaten tomatensaft
370,"Paprika (84%)| Auberginen| Branntweinessig| Zucker| Speisesalz| Sonnenblumenöl| Knoblauch.

Kann Spuren von HASELNÜSSEN und WALNÜSSEN enthalten.",glutenfrei,paprika  auberginen branntweinessig zucker speisesalz sonnenblumenöl knoblauchkann spuren von haselnüssen und walnüssen enthalten
371,"Rindfleisch 77%| Trinkwasser| Speisesalz| Gewürze| Gewürzextrakte| Dextrose| Antioxidationsmittel: Ascorbinsäure| Konservierungsstoff: Natriumnitrit| Rauch. 

Kann Spuren von MILCHEIWEIß| SELLERIE und SENF enthalten.",glutenfrei,rindfleisch  trinkwasser speisesalz gewürze gewürzextrakte dextrose antioxidationsmittel ascorbinsäure konservierungsstoff natriumnitrit rauch kann spuren von milcheiweiß sellerie und senf enthalten
372,"Quellwasser| Zucker| Himbeer-* (0|6%) und Sauerkirschsaft* (o|4%)| Säuerungsmittel: Citronensäure| Konservierungsstoff: Kaliumsorbat| Aroma.
*aus Fruchtkonzentraten.",glutenfrei,quellwasser zucker himbeer  und sauerkirschsaft o säuerungsmittel citronensäure konservierungsstoff kaliumsorbat aromaaus fruchtkonzentraten
373,"JOHGURT mild*| Rohrohrzucker*| 4% Blaubeeren*| 3|5% Schwarze Johannisbeeren*| Stärke*| Verdickungsmittel Johannisbrotkernmehl* und Pektin. 
*Aus kontrolliert ökologischen Landbau.",glutenfrei,johgurt mild rohrohrzucker  blaubeeren  schwarze johannisbeeren stärke verdickungsmittel johannisbrotkernmehl und pektin aus kontrolliert ökologischen landbau
374,Enthält SULFITE.,glutenfrei,enthält sulfite
375,"60% HERINGSFILETS (Clupea harengus)| 13% Tomatenmark| Trinkwasser| Rapsöl| Zucker| Speisesalz| Senf (Trinkwasser| SENFSAATEN| Branntweinessig| Speisesalz| Gewürze)| Mango-Chutney (Zucker| Mango| Trinkwasser| Speisesalz| Branntweinessig| Gewürze)| Branntweinessig| modifizierte Stärke| Verdickungsmittel: Guarkernmehl| Johannisbrotkernmehl.

Die Analysewerte unterliegen den bei Naturprodukten üblichen biologischen Schwankungen.",glutenfrei, heringsfilets clupea harengus  tomatenmark trinkwasser rapsöl zucker speisesalz senf trinkwasser senfsaaten branntweinessig speisesalz gewürze mangochutney zucker mango trinkwasser speisesalz branntweinessig gewürze branntweinessig modifizierte stärke verdickungsmittel guarkernmehl johannisbrotkernmehldie analysewerte unterliegen den bei naturprodukten üblichen biologischen schwankungen
376,Sultaninen| pflanzliches Öl. Unter Schutzatmosphäre verpackt.,glutenfrei,sultaninen pflanzliches öl unter schutzatmosphäre verpackt
377,Pasteurisierte KUHMILCH| Salz| Starterkulturen (MILCH)| tierisches Lab| Konservierungsstoff: E251| E235| Farbstoff: E160b.,glutenfrei,pasteurisierte kuhmilch salz starterkulturen milch tierisches lab konservierungsstoff e e farbstoff eb
378,Weißer Tee (Wasser| Weißer Tee)| Holunderblüten Tee (Wasser| Holunderblüten)| Zucker| Zitronensaft aus Zitronensaftkonzentrat| Säuerungsmittel: Zitronensäure| Aroma. Pasteurisiert.,glutenfrei,weißer tee wasser weißer tee holunderblüten tee wasser holunderblüten zucker zitronensaft aus zitronensaftkonzentrat säuerungsmittel zitronensäure aroma pasteurisiert
379,"91% Tomaten| Zwiebeln| Karotten| 2|3% Basilikum| modifizierte Maisstärke| Zucker| Sonnenblumenöl| Speisesalz| natürliche Aromen| Knoblauch| Gewürze| Säureregulator: Milchsäure. 

Kann Spuren von SELLERIE| MILCH| WEICHTIEREN| FISCHEN| SCHALENFRÜCHTEN| SENF| KREBSTIEREN und SCHWEFELDIOXID enthalten.",glutenfrei, tomaten zwiebeln karotten  basilikum modifizierte maisstärke zucker sonnenblumenöl speisesalz natürliche aromen knoblauch gewürze säureregulator milchsäure kann spuren von sellerie milch weichtieren fischen schalenfrüchten senf krebstieren und schwefeldioxid enthalten
380,Früchte (25% Himbeeren| passiert| 25% Rhabarber)| Zucker| Zitronensaftkonzentrat| Geliermittel: Pektin.,glutenfrei,früchte  himbeeren passiert  rhabarber zucker zitronensaftkonzentrat geliermittel pektin
381,Wasser| Saccharose| Glucose| Säuerungsmittel Zitronensäure| Kohlensäure| Taurin (0|4%)| Säureregulator (Natriumcarbonate| Magnesiumcarbonat)| Koffein (0|03%)| Vitamine (Niacin| Pantothensäure| B6| B12)| Aroma| Farbstoffe (einfache Zuckerkulör| Riboflavin).,glutenfrei,wasser saccharose glucose säuerungsmittel zitronensäure kohlensäure taurin  säureregulator natriumcarbonate magnesiumcarbonat koffein  vitamine niacin pantothensäure b b aroma farbstoffe einfache zuckerkulör riboflavin
382,Bio-Apfelessig.,glutenfrei,bioapfelessig
383,Grünkohl.,glutenfrei,grünkohl
384,Kokosnuss.,glutenfrei,kokosnuss
385,Wasser| Rapsöl| Weißkohl| Zucker| Branntweinessig| Blumenkohl. Gewürzgurken (Gurken| Branntweinessig| Salz| Aroma)| modifizierte Stärke| Gewürze (enthalten SENF)| pasteurisierter EIDOTTER| Salz| Zwiebeln| Aroma| VErdickungsmittel (E410| E415)| Säureregulator (E296)| Konservierungsstoff (E202| E211)| pH unter 4|5.,glutenfrei,wasser rapsöl weißkohl zucker branntweinessig blumenkohl gewürzgurken gurken branntweinessig salz aroma modifizierte stärke gewürze enthalten senf pasteurisierter eidotter salz zwiebeln aroma verdickungsmittel e e säureregulator e konservierungsstoff e e ph unter 
386,46% Kartoffelpulver| 29% Sonnenblumenöl| modifzierte Stärke| Aroma (enthält MILCH)| Speisesalz| Hefeextrakt| Paprikapulver| Zwiebelpulver| Glukosesirup| Knoblauchpulver| Farbstoff (Paprikaextrakt)| Raucharoma.,glutenfrei, kartoffelpulver  sonnenblumenöl modifzierte stärke aroma enthält milch speisesalz hefeextrakt paprikapulver zwiebelpulver glukosesirup knoblauchpulver farbstoff paprikaextrakt raucharoma
387,"60% Käse (MILCH| Salz| Starterkulturen| Farbstoff: Carotin)| Wasser| BUTTER| 9% Schinken (Schweinefleisch| Salz| Dextrose| Maltodextrin| Gewürze| Konservierungsstoff: Natriumnitrit| Rauch)| MILCHEIWEIß| MOLKENERZEUGNIS| Schmelzsalze (E331| E339| E450| E452). 
Unter Schutzatmosphäre verpackt.",glutenfrei, käse milch salz starterkulturen farbstoff carotin wasser butter  schinken schweinefleisch salz dextrose maltodextrin gewürze konservierungsstoff natriumnitrit rauch milcheiweiß molkenerzeugnis schmelzsalze e e e e unter schutzatmosphäre verpackt
388,Trauben.,glutenfrei,trauben
389,Branntweinessig| natürliches Aroma. 5% Säure.,glutenfrei,branntweinessig natürliches aroma  säure
390,Sauerkirschen| Zucker| Zitronensaftkonzentrat| Geliermittel Pektin (aus Früchten).,glutenfrei,sauerkirschen zucker zitronensaftkonzentrat geliermittel pektin aus früchten
391,Tomatenmark 2-fach konzentriert| Paprika (7%)| Salz| Gewürze| Knoblauch| natürliches Paprika-Aroma.,glutenfrei,tomatenmark fach konzentriert paprika  salz gewürze knoblauch natürliches paprikaaroma
392,Traubenzucker| Fruchtpulver (1|9%: Maltodextrin| Erdbeerfruchtpulver| Citronensäure| natürliches Aroma)| pflanzliches Fett: ganz gehärtet (Palm)| Emulgator Mono- und Diglyceride von Speisefettsäuren| Säuerungsmittel Citronensäure| Trennmittel Magnesiumstearat| Aroma.,glutenfrei,traubenzucker fruchtpulver  maltodextrin erdbeerfruchtpulver citronensäure natürliches aroma pflanzliches fett ganz gehärtet palm emulgator mono und diglyceride von speisefettsäuren säuerungsmittel citronensäure trennmittel magnesiumstearat aroma
393,Weißkohl.,glutenfrei,weißkohl
394,Pfefferkörner schwarz.,glutenfrei,pfefferkörner schwarz
395,Zucker| Wasser| Säuerungsmittel: Zitronensäure| Aroma| Farbstoffe: Anthocyane. Enthält Vanille- und Beerenobstextrakte.,glutenfrei,zucker wasser säuerungsmittel zitronensäure aroma farbstoffe anthocyane enthält vanille und beerenobstextrakte
396,Maiskeimöl| Vitamin E.,glutenfrei,maiskeimöl vitamin e
397,Äpfel 90%| Zucker| Zitronensaftkonzentrat|Antioxidationsmittel(Ascorbinsäure).,glutenfrei,äpfel  zucker zitronensaftkonzentratantioxidationsmittelascorbinsäure
398,Zwiebeln.,glutenfrei,zwiebeln
399,Meersalz| Paprika edelsüß| Petersilie| Knoblauch| Majoran| Bockhornkleesaat| Chilischrot| Kümmel| Muskat.Kann Spuren von SENF und SELLERIE enthalten.,glutenfrei,meersalz paprika edelsüß petersilie knoblauch majoran bockhornkleesaat chilischrot kümmel muskatkann spuren von senf und sellerie enthalten
400,Wasser| Zucker| Limonensaft aus Limonensaftkonzentrat (28%)| Säuerungsmittel Citronensäure| natürliches Aroma| Konservierungsstoff Natriumbenzoat.,glutenfrei,wasser zucker limonensaft aus limonensaftkonzentrat  säuerungsmittel citronensäure natürliches aroma konservierungsstoff natriumbenzoat
401,Rohrohrucker*| Ingwer* (25%). Unter Schutzatmosphäre verpackt. *Aus kontrolliert biologischem Anbau. Kann Spuren von NÜSSEN und ERDNÜSSEN enthalten.,glutenfrei,rohrohrucker ingwer  unter schutzatmosphäre verpackt aus kontrolliert biologischem anbau kann spuren von nüssen und erdnüssen enthalten
403,"Zucker| Dextrose| 20% stark entöltes Kakaopulver| Emulgator: Sonnenblumenlecithine| Speisesalz.

Kann Spuren von MILCH und SOJA enthalten.",glutenfrei,zucker dextrose  stark entöltes kakaopulver emulgator sonnenblumenlecithine speisesalzkann spuren von milch und soja enthalten
404,Kakaopulver.,glutenfrei,kakaopulver
405,Glukosesirup| Zucker| Stärke| Säuerungsmittel: Citronensäure| Aroma| Überzugsmittel: Bienenwachs weiß und gelb| Carnaubawachs| Holunderbeerextrakt| Frucht- und Pflanzenkonzentrate: Orange| Holunderbeere| Schwarze Johannisbeere| Zitrone| Aronia| Traube| Farbstoffe: Indigotin| Fruchtsüße aus Johannisbrotfrucht| Invertzuckersirup.,glutenfrei,glukosesirup zucker stärke säuerungsmittel citronensäure aroma überzugsmittel bienenwachs weiß und gelb carnaubawachs holunderbeerextrakt frucht und pflanzenkonzentrate orange holunderbeere schwarze johannisbeere zitrone aronia traube farbstoffe indigotin fruchtsüße aus johannisbrotfrucht invertzuckersirup
406,Glukosesirup| Zucker| Gelatine| Säuerungsmittel: Citronensäure| Milchsäure| Feuchthaltemittel: Sorbit Pfirsichsaftkonzentrat| färbende Lebensmittel (schwarze Johannisbeere| Karotte| Curcuma| Paprika)| Aroma.,glutenfrei,glukosesirup zucker gelatine säuerungsmittel citronensäure milchsäure feuchthaltemittel sorbit pfirsichsaftkonzentrat färbende lebensmittel schwarze johannisbeere karotte curcuma paprika aroma
407,Zucker| modifizierte Stärke| Glucosesirup| pflanzliches Öl (Palm)| Emulgatoren (E471| E472b und E472e)| Verdickungsmittel Carrageen| MILCHEIWEIß| Speisesalz| Stabilisator E340| Aroma (MILCH)| Farbstoffe Beta-Carotin und Riboflavin.Kann Spuren von EI| SOJA und SCHALENFRÜCHTEN enthalten.,glutenfrei,zucker modifizierte stärke glucosesirup pflanzliches öl palm emulgatoren e eb und ee verdickungsmittel carrageen milcheiweiß speisesalz stabilisator e aroma milch farbstoffe betacarotin und riboflavinkann spuren von ei soja und schalenfrüchten enthalten
408,Zucker| Kaumasse| Dextrose| Glukosesirup| Maisstärke| Aromen| Säuerungsmittel: Zitronensäure (E330)| Apfelsäure (E296)| Emulgator: SOJALECITHIN| Stabilisator: E414| Überzugsmittel: E904| E903.,glutenfrei,zucker kaumasse dextrose glukosesirup maisstärke aromen säuerungsmittel zitronensäure e apfelsäure e emulgator sojalecithin stabilisator e überzugsmittel e e
409,Mildgesäuerte BUTTER.,glutenfrei,mildgesäuerte butter
410,Gurken| Zucker| Branntweinessig| Salz| Aromen (Zimt| Dill| Kümmel)| Festigungsmittel: Calciumchlorid.,glutenfrei,gurken zucker branntweinessig salz aromen zimt dill kümmel festigungsmittel calciumchlorid
